"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Hong Kong SAR, China","HKG","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.460191007506461","0.341588811578895","3.24160243734756","52.0303394690593","98.6842105263158","100","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Haiti","HTI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IBRD only","IBD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","3.11066883357367","4.65320693129944","5.89987862164341","6.55287866099856","7.03816936720284","8.30035174731394","9.21339043951847","9.66990978562074","9.88433553909301","11.7034959637127","12.5473650580229","13.4258189512803","14.7746261102188","15.5354916870559","16.3378590226296","17.0018871624147","17.8595901763038","19.8931763543957","21.4564092668065","23.3793240882676","47.1805827236903","52.1123750535526","58.6212287009536","66.0666132562138","69.0479912458965","71.2668047522276","76.5622557448804","88.750586212287","100.650207128341","114.413494606847","143.952243239018","95.381135688604","100","107.461016882914","112.956268563389","111.143407065812","77.6379552915429","81.0482452712209","87.4404017508207","91.503341410036","96.4920079724871","","","",
"IDA only","IDX","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Wholesale price index (2010 = 100)","FP.WPI.TOTL","3.06838052854559","3.14197637153915","3.25520074528831","3.37408633766831","3.72508189629071","4.03078770547005","4.51199129390397","5.19133753639892","5.16869266159248","5.27625581671079","5.60083235477756","5.88153444802125","6.39906418969026","7.44969202444709","9.57831025092184","9.95336598897065","9.75758217602468","10.4954276782853","10.4723110353162","11.6923036624823","14.0374635037476","15.7556433753958","16.1387191732282","17.4110780732297","18.6210537155029","19.4853220314123","20.5695859186441","21.9995571322397","23.9166613966206","25.5378192376749","27.8451537416634","31.6021019209726","35.3511931155918","37.9941518155918","41.9995116608526","45.922766016102","47.9779171658354","50.1507782111418","53.099888297524","54.9323450502274","58.5304502365254","61.5498528935084","63.0723212522619","66.4300502111901","70.8187168637815","73.7958194185537","78.0963712076145","81.9928613920285","89.1731112433076","91.2730517549077","100","109.470553242118","117.472032781688","123.832177940201","127.98468983362","123.005391455829","122.940363305373","127.167193085027","132.592398780232","135.091337704907","135.815937095705","150.437981212575",
"Not classified","INX","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","0.29180079724684","0.295555110964369","0.299223118620279","0.299784108027274","0.315966494743485","0.32511493736613","0.321403776678548","0.32230999033547","0.324122417646295","0.333184554209478","0.342850833206583","0.364082124577552","0.38492503866692","0.428250682033675","0.500877233611725","0.540750634477911","0.589340947654332","0.690491652882204","0.760054339243012","0.867548540064595","1.13889480050798","1.40657305329373","1.58514029657042","1.81877080770707","1.95742149708547","2.06120453721947","2.45212263910592","3.24411255981094","3.9633341758358","4.77140081501667","5.75292678512118","7.23679846893481","9.62787614449741","12.0916726859906","16.6409242567228","26.7213863500188","35.5213861746914","39.3190399562953","44.0040673116671","52.4470836126808","62.3599272100374","66.0536985601635","71.455479998723","79.0154199789292","88.9538039140568","100","109.162596175334","126.204386553012","","","","","","","","","","","","","","",
"Iraq","IRQ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","63.4266379571314","62.9960012305844","61.5195324517426","66.4308417920633","67.7483851121739","65.6464677533548","65.3388700909936","70.1220137390653","66.8153388700404","68.5635189170057","75.2127550497033","80.0266584641034","76.9404285858514","80.4983082127463","90.5721316517704","100","111.206808161421","118.62503844956","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Israel","ISR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","0.0973603619318736","0.0983339655511923","0.102131019665562","0.106974697672159","0.108192836052569","0.110739852663837","0.113010019642892","0.121094028887352","0.132878594875088","0.146868729594768","0.174885912318627","0.264880499250013","0.372907225523586","0.487751842088599","0.675556567987497","1.03472747663425","1.85265759132672","4.35525689744418","9.70133009461172","21.8987854115322","53.5324535606273","265.805331686485","9.73032273065067","14.1194137528795","16.7348483338446","19.6632829179203","23.8027489276433","26.5558379602382","30.8165709868731","33.9509632782418","36.73004519187","39.6266833271298","43.8656418020877","47.6399890303161","50.6350309690765","52.7517033866569","56.4765184990293","58.5304502365254","61.5498528935084","63.0723212522619","66.4300502111901","70.8187168637815","73.7958194185537","78.0963712076145","81.9928613920285","89.1731112433076","91.2730517549077","100","109.470553242118","117.472032781688","123.832177940201","127.98468983362","123.005391455829","122.940363305373","127.167193085027","132.592398780232","135.091337704907","","",
"Italy","ITA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","6.81143305722065","6.8482516142867","7.03234439961699","7.40052997027757","7.65825986973997","7.76871554093814","7.91598976920237","7.78712481947117","7.81167052418187","8.11542361997685","8.71372517230028","9.06043325133899","9.43168703508841","11.0394306936396","15.5374310818763","16.869035562432","20.7288476281904","24.3278615813975","26.3712914985637","30.4520149067184","36.5608271665951","42.9396421782896","48.8797027182802","53.6477058583347","59.2042397622205","63.554965922193","62.9781418614914","64.6472497818194","67.7031900183021","72.0385751128304","77.3754480980013","81.3797549967763","83.0883301096067","87.3694390715667","90.709219858156","100","103.655705996132","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jamaica","JAM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","16.7387549011599","19.1087427703492","20.3910550474511","21.501629072999","22.8984335175746","26.3160247199666","28.6974618058576","29.6076745381834","30.7869438643987","31.3078832268104","31.7715765054851","7.95720564737705","31.8803440649229","34.9945310233208","46.79867350166","53.5422621726026","56.2900741947184","58.6314390218963","60.6249079486407","63.5564798997355","62.0222905786626","63.292638424137","64.2893728875093","64.6997929606625","63.1469979296066","60.8889751552795","59.9524456521739","58.9900362318841","59.7130564182195","64.745082815735","69.236865942029","73.7383540372671","80.0174689440994","95.5615942028985","96.4479813664596","100","","","","","","","","","","","",
"Japan","JPN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","45.4257669903997","45.8860436629447","45.1248168583511","45.9391525097768","46.018815780025","46.3994291823218","47.4970120168521","48.373307989582","48.7539213918788","49.7983953795769","51.5952446973968","51.223482769572","51.6129476463408","59.8005615329581","78.5656874136376","80.9290310976666","85.0715211505714","86.6736380300067","84.4696208864741","90.6213956445271","106.722227709129","108.226978369372","110.156599804272","107.713592849995","107.43034566689","106.217693664224","96.5164776428915","92.8962245838358","91.9756712387459","94.3390149227749","96.277487832147","96.4456658471154","95.0117269826483","91.4265301262205","92.2680003175359","95.2528379772962","97.4120822418036","100.944669365722","93.7683575454473","94.474874970231","100","92.2521235214734","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4907827316096","80.363979032923","94.2163849461099","94.2399434595677","100","111.361093115024","113.127981624359","120.519465221745","129.807409152482","127.045173449555","150.750927616467","160.404028505801","","","","",
"Kenya","KEN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3791169279448","93.2619013375521","90.7090464547677","91.8308643750899","92.6218898317273","97.0228678268373","97.9361426722278","100","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodia","KHM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kiribati","KIR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","3.53507529892313","4.00800461886746","4.38292242982093","5.28310580339706","7.11487429614868","7.82569562813744","8.51653403114301","9.06368565886423","9.80019932813475","10.4605875535796","11.4178650100369","12.40368950793","14.1136073178659","15.0907032088313","21.4418265021424","27.1392907382225","30.4256803907886","36.1944638287974","47.8250755989765","53.9660386136311","67.3645033728774","84.7638985810654","85.322167946034","91.55617585485","92.20749011398","93.0448941614329","91.6492207490114","91.3080561370861","94.611149879817","95.9990695510584","100","105.381096379003","107.606420097697","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","23.5306989270759","28.7152962572044","31.7076168041172","34.1097089862562","36.7039685429271","39.2648929428043","38.8119269884973","41.3257899905202","45.653477701525","48.7909042251351","49.3085796014915","50.2302352949774","49.9076558022573","49.2701772809296","49.5466739889754","51.1941335410813","53.5366750953578","58.2563202924164","60.46061349267","71.704812953197","72.0158717497485","73.3177104167972","73.5788461966182","74.097277524204","78.0219946856311","77.0043331907405","75.7408968442537","74.8192411507679","75.1533413396565","76.6356709133462","79.1471826780951","80.6871157326276","80.9943342971229","84.6079926619986","86.3937005681273","89.7577438493506","95.5919971995584","95.6817549434077","100","103.849709633699","106.04129454602","109.669003359932","112.331816427462","115.682772197838","117.156295159365","120.791483785264","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","83.4008097165992","84.2105263157895","81.7813765182186","84.2105263157895","86.1673414304993","86.774628879892","88.7989203778677","93.0499325236167","92.0377867746289","97.0310391363023","100","102.699055330634","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","2.56868008373897","2.65601520656041","2.87309007931014","3.47595929496581","4.02417984184209","4.40723425932538","5.89576296218903","6.89669196815479","7.27685662054601","9.09548211982678","11.4218500490019","9.68627853908247","9.40008476644062","10.6583098941276","12.5520692858641","13.6893523929395","16.7248900818981","18.2592483185848","19.8561111039759","21.3656387665198","22.4344237380289","24.4108090057924","29.4122431855058","31.4487783785635","33.4063266590463","33.2721131246709","33.8348681196834","37.7902073352941","41.8435845074342","43.1240715291781","48.5086671547159","54.0936198267853","60.403518235488","75.1188228595403","93.8506869078657","89.9350552052161","100","110.620138768444","114.494259154053","125.041463735329","129.001447635929","130.302298970766","135.728673825084","145.763750192312","150.703941195071","","","",
"Lower middle income","LMC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latvia","LVA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","31.4161985874553","34.0885492367855","40.0763888659404","44.9065795001254","48.2043267328786","54.7909503249046","60.03363657812","64.6974983338282","65.3650315665599","68.1615744452134","70.749651796037","73.9764320406371","78.7334379682435","80.951156349412","84.5616018739543","86.5331535148131","92.1572873294563","96.2401068691875","94.9893137022085","97.6490144858703","96.0104488245073","100","99.5962954167656","101.781049631916","97.1740679173593","","","","","","","","","","","","","","","","","","",
"Monaco","MCO","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Madagascar","MDG","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa","MEA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","0.096557049203702","0.11421894278673","0.142172208531121","0.176989071189742","0.276201439246546","0.572784462296886","0.975644610835342","1.49818722186428","2.82232231611973","6.65041504242958","13.8213369514333","16.0419076904954","19.787355629107","23.8499130101451","27.0417671999888","29.4458928895872","31.4438457192156","43.7438137105538","59.6436972466596","70.6809492780993","80.5058599668519","92.302035036369","100","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mali","MLI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malta","MLT","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Northern Mariana Islands","MNP","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritania","MRT","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mauritius","MUS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malawi","MWI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malaysia","MYS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Caledonia","NCL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nigeria","NGA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nicaragua","NIC","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands","NLD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Norway","NOR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nauru","NRU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Zealand","NZL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Other small states","OSS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Wholesale price index (2010 = 100)","FP.WPI.TOTL","1.56893513954221","1.61584630021452","1.64199521919774","1.65797220870077","1.6836504471552","1.79763358504032","1.97000725904195","2.08021187813529","2.07686481650296","2.17430876312672","2.19346284628733","2.31336871432423","2.55274899324511","3.24778726005969","3.97355050669031","4.87843384841997","5.26758580007682","5.75663110052516","6.10663637130616","6.7004641561079","7.59750133475297","8.42485736093413","8.78085053535634","9.42789764444937","10.3108265811472","10.6108948441031","11.1335558176617","12.0524318159957","13.2273226542565","14.3442064966003","15.5783003513123","17.4488764670637","18.71293728072","20.6303559001837","24.6991220659004","27.8536515783614","30.9418163217156","34.4090312919392","36.3950176603971","37.785924086781","39.290283977364","41.0813066257903","42.3069895606219","45.080518881288","48.8889573111062","53.1535549588654","57.6697682702699","62.414569163048","78.2162360289333","83.8994312742835","100","118.833830733712","127.272368939693","137.183963060983","143.727687369784","140.108114195619","142.453403907878","147.398502167915","159.601891998423","180.012388084915","112.680894194493","114.654541359311",
"Panama","PAN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","20.8896483696856","21.1104903995942","21.4919448147539","21.8181887225494","22.4957722231509","23.7053842504302","25.7230773413588","28.428392207124","37.0161356863897","42.2159616620959","45.5085155618529","48.7809929133907","51.4110207235725","58.6285397902074","67.617814232852","74.3936492398705","80.5471112536016","77.4592529918404","78.2804918912449","77.9766334984652","65.5184393944977","66.471076517807","61.9460501820878","63.4571297569922","65.963625248357","66.2692954302308","67.4919761577258","67.3238575576952","68.6993733761272","70.7473635946813","72.2451474858628","70.6250955219318","67.8587803759743","69.6775179581232","75.7756380865047","73.3455601406083","71.1447348311172","72.3368485404249","75.515818431912","79.7799174690509","84.6095063426563","89.1181415252942","103.178969891487","96.2708237811402","100","111.860003056702","117.132813694024","117.300932294055","115.390493657344","108.803301237964","107.91685771053","","","","","",
