"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","53.1568525827586","58.7383221039482","69.9012611463275","83.3047615250701","100","119.204241916836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","1.768223745838E-13","2.44600721319296E-13","3.74812119306585E-13","6.50843178070056E-13","1.24716434224483E-12","1.88517881117965E-12","2.57878435314071E-12","3.23326233216535E-12","4.0113235427732E-12","4.81803553717584E-12","5.88153552661772E-12","7.05784263194127E-12","8.36987748018676E-12","9.77239749038022E-12","1.26226800917411E-11","1.60611162457638E-11","2.25235772205181E-11","3.16734504798934E-11","4.40123159193574E-11","6.83495004480584E-11","1.43021547479143E-10","3.04709786768731E-10","5.88549040197138E-10","1.57363821386043E-09","5.29276725510618E-09","1.74150687036111E-08","4.64401832096295E-08","1.50930595431296E-07","1.18422467184555E-06","1.71054674822135E-05","0.000478953089501979","0.00241713413575587","0.0262375392838477","0.563625701791099","13.4086305604446","21.2878913446555","22.5502430143663","26.1737119743244","28.2032818593752","33.0759623006996","40.0756436151081","45.1259234287695","52.6454150023227","67.1524755099337","74.1767959260646","78.3056128741953","78.9391800287459","83.3589871662878","94.7838743452448","94.5877572239689","100","109.444785039325","115.887834986392","122.755629402351","128.317772354148","136.117387036975","151.699815205029","150.576009855732","161.01794506245","172.284922827348","203.236041717938","275.210970617745",
"Barbados","BRB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","35.0903611818616","36.4911740033413","44.5458477279236","47.7326968973747","50.5343225408115","51.6467780429594","53.9379474940334","56.0859188544153","60.9069212405728","64.8210023866348","72.5536992840095","89.2601431980907","102.673031026253","100","97.9952267303103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","37.0077415011781","40.6428811847863","44.2780208683945","50.4880511612252","57.404914170313","66.1898350723662","70.8347357791989","81.0838101649276","86.4355435880175","89.7298889262874","93.4365533490407","95.9777852574891","98.1193200942444","100","96.4742510939078","98.0814540558735","101.068663749579","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Comoros","COM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","17.1112870820216","35.6339400726141","44.9690461999524","48.410974179508","53.4442711436864","58.2555683193865","64.4388782612039","75.9476597196855","87.0187501201623","100","128.09363764828","151.369609520697","161.061297175706","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","14.8080430973729","15.2574079900045","15.7991656642986","16.2275321974614","16.7986875750118","18.7641340212042","23.8793343877953","26.4201358834738","27.3062666530977","29.3767048967599","30.5148159799249","33.2068056637785","38.6873774850841","42.9809532573774","45.1955344451918","46.7321826163283","49.1727414763686","50.7357537092649","48.4496129252456","48.3554555618181","50.0310800013736","51.5229092675186","53.33110727478","55.7607438806628","57.4227233364619","58.8491816394339","60.804451587433","63.0085740742682","64.3550440611857","66.1503373770757","66.4969534133119","67.296836573857","72.1316858998181","73.2781850965994","74.9527377742922","76.8253558224647","81.8190039509249","85.2761449629358","87.8509947791731","91.1034288133202","98.2079864540708","99.3368138845774","100","102.913785804995","105.002116551432","","","","","","","","","",
"Czechia","CZE","Wholesale price index (2010 = 100)","FP.WPI.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
