TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Poland,0.854,1.221,1.605,2.622,0.086,-0.191,5.430,6.570,8.526,9.924,10.722,10.450,11.439,13.309,14.727,17.748,20.149,25.790,30.862,32.041,31.569,34.020,31.628,26.254,29.415,29.848,30.760,38.269,43.505,45.237,42.760,40.443
Portugal,83.571,82.315,84.112,82.652,81.261,85.720,80.751,84.167,84.421,87.781,85.286,85.177,84.162,85.488,83.933,88.561,83.967,81.519,83.623,81.434,75.220,77.792,79.461,73.347,70.234,76.293,72.241,77.965,75.657,73.875,65.282,66.925
Romania,35.907,28.716,29.565,27.023,25.803,30.860,31.018,32.662,28.935,21.163,21.884,26.272,24.275,25.418,30.036,27.474,29.158,31.460,27.650,19.890,21.386,21.140,22.463,18.317,16.663,16.687,21.901,23.295,24.291,30.282,28.191,31.645
Slovenia,45.867,42.493,42.006,48.369,49.334,51.018,55.512,55.468,52.525,55.969,51.852,48.940,49.749,52.467,51.379,50.826,50.897,50.821,53.587,48.834,49.277,48.329,51.813,47.461,45.187,49.304,49.017,50.769,51.213,52.116,45.680,48.615
Slovakia,77.071,72.976,74.782,68.893,68.114,68.881,73.197,72.969,70.669,66.162,65.065,62.537,64.476,64.918,68.180,65.990,64.344,69.736,65.842,67.692,64.448,65.933,61.625,60.825,62.135,60.102,60.551,64.845,63.679,69.762,56.329,52.584
Finland,61.017,56.795,55.683,55.897,65.815,53.450,54.854,56.031,53.237,50.675,55.475,55.337,52.360,59.095,54.731,54.459,54.073,53.320,54.483,54.795,48.859,53.914,47.109,49.662,49.935,47.946,46.161,43.939,45.341,43.017,43.156,37.989
Sweden,38.187,35.713,37.404,38.858,40.376,37.757,40.442,38.406,37.875,35.185,39.316,37.005,37.664,43.679,37.256,38.075,38.227,36.797,38.416,38.186,37.990,36.476,30.164,32.790,32.335,30.061,33.301,26.658,29.059,30.044,31.980,21.217
Iceland,32.967,31.353,36.464,33.342,34.319,34.126,34.311,34.802,34.629,32.165,30.567,29.083,28.813,27.848,31.955,31.224,25.980,22.832,21.200,20.106,13.864,13.390,13.694,13.505,13.955,16.418,18.941,18.370,19.143,16.106,11.966,15.230
Norway,-435.231,-479.730,-533.338,-526.405,-602.279,-640.327,-756.473,-731.931,-676.127,-653.235,-723.443,-716.791,-801.071,-739.130,-702.544,-661.358,-627.919,-648.208,-592.319,-601.253,-535.493,-589.248,-568.802,-508.146,-565.514,-675.811,-611.554,-595.620,-563.210,-560.581,-618.061,-616.598
United Kingdom,2.277,5.097,3.838,-0.032,-14.584,-16.750,-14.766,-15.482,-16.431,-20.573,-17.128,-9.526,-11.954,-5.960,4.485,13.363,21.132,20.378,26.236,27.274,29.008,36.942,43.387,47.758,46.773,37.638,35.639,35.575,35.513,34.829,:,:
Bosnia and Herzegovina,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,28.209,33.693,31.518,34.031,24.263,27.377,25.401,27.150
Montenegro,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,42.477,44.975,54.291,46.208,43.066,26.397,36.219,34.270,23.482,29.917,30.080,34.590,40.486,31.060,32.857,27.422,31.098
Moldova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,77.475,79.091,76.133,76.802,74.185,74.932,73.996,73.190,74.252,76.561,77.476,76.636
North Macedonia,48.415,49.740,44.304,46.344,34.790,41.446,45.109,42.899,42.728,36.391,40.758,38.793,46.368,39.189,41.804,42.761,44.683,47.116,46.304,45.221,44.005,45.620,48.187,46.729,51.550,52.432,58.754,56.186,58.388,58.146,63.477,68.040
Albania,6.412,-3.496,-3.378,0.194,3.586,6.696,6.354,8.776,16.347,41.525,45.781,52.210,53.360,50.757,47.764,49.710,40.387,49.179,49.780,46.388,28.897,35.658,15.626,25.300,28.716,12.593,20.128,38.126,20.967,31.546,35.822,23.765
Serbia,30.936,26.653,20.645,10.232,9.549,10.463,24.898,26.959,24.595,14.117,13.877,23.463,26.366,28.617,33.482,36.611,38.232,36.392,37.729,32.256,33.516,30.445,27.940,24.094,27.937,27.693,29.726,33.815,34.640,35.618,30.020,34.777
Türkiye,53.545,47.410,50.231,55.291,55.860,59.274,60.447,59.945,60.155,60.893,65.384,64.574,67.567,70.507,70.222,71.680,72.792,74.154,72.379,70.375,70.651,71.111,75.642,75.385,76.294,77.877,75.482,77.168,73.789,69.952,70.648,:
Ukraine,47.639,53.334,50.773,46.423,45.530,50.254,51.058,48.094,45.201,44.255,43.052,43.266,43.599,46.500,45.282,42.308,41.476,40.904,42.416,36.023,31.557,37.587,31.325,26.980,25.912,32.221,30.130,36.948,34.467,36.786,34.057,:
Kosovo (under United Nations Security Council Resolution 1244/99),:,:,:,:,:,:,:,:,:,:,27.108,27.121,27.186,26.714,27.143,28.216,29.470,29.034,27.071,25.880,24.605,27.504,27.249,21.847,27.178,27.601,23.609,29.957,29.274,30.534,29.537,32.576
Georgia,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,66.473,69.722,72.736,72.014,72.953,75.666,79.080,79.653,76.706
